company_name,company_address,num_employees_affected,layoff_date,union,union_rep_info,local_workforce_investment_area,date_notice_received,layoff_or_closure,severance,bumping_rights,jobs,updated(BLN)
Albertelli Law,"['9200 Oakdale Avenue', ' Chatsworth', ', CA', ' 91311']",66,12/15/14,No,,City of Los Angeles                               ,10/22/14,Layoff,Employer did not State,No,"{'Bankruptcy Paralegal': 1, 'Foreclosure Specialist II': 44, 'Foreclosure Specialist III': 6, 'MB Foreclosure Analyst': 1, 'MB Foreclosure Supervisor': 10, 'Operations Manager': 2, 'Senior Attorney': 1, 'West Coast Operations Manager': 1, None: None}",3/16/20
"Amcor Rigid Plastics USA, Inc.","['2010 Yates Avenue', ' Los Angeles', ', CA', ' 90040']",112,9/26/14,No,,Los Angeles County WDACS                                                        ,8/14/14,Layoff,Employer did not State,No,"{'Lead': 6, 'Machine Operator': 51, 'Maintenance': 18, 'Materials': 5, 'PLC': 1, 'Quality Inspector': 4, 'Salaried Employees': 15, 'Warehouse': 12, None: None}",3/16/20
Arcata Associates Inc.,"['NASA Armstrong Flight Research Center', '4846 Lilly Drive', 'Edwards', ', CA', ' 93523']",101,10/31/14,No,,Los Angeles County WDACS                                                        ,9/30/14,Layoff,Employer did not State,No,"{'Administrator, COMSEC Count': 1, 'Administrator, HW/SW Maint': 1, 'Buyer, Senior Count': 2, 'Computer Operator II/Hlp Dsk Count': 1, 'Computer Operator III Count': 4, 'Computer Operator IV Count': 1, 'Computer Programmer II Count': 2, 'Database Admin, Oracle Count': 2, 'Database Administrator Count': 1, 'Drafter III': 1, 'Engineer, Broadcast Count': 1, 'Engineer, Field Service -VID Count': 1, 'Engineer, Field Service Count': 8, 'Engineer, Field Service WGL Count': 3, 'Engineer, Integration Count': 1, 'Engineer, IT Security Count': 2, 'Engineer, Software Count': 3, 'Engineer, Software Sr Count': 2, 'Engineer, Systems Count': 2, 'HR Generalist Count': 1, 'Illustrator II Count': 2, 'Illustrator III Count': 1, 'Manager, Engineering Count': 1, 'Manager, ISS Count': 1, 'Manager, Logistics Count': 1, 'Manager, Range O & M Count': 1, 'Manager, RF & ESS Program Count': 1, 'Photo Librarian I (Photo I) Count': 1, 'Photographer III Count': 2, 'Photographer III, Video Count': 2, 'Photographer V, Video Count': 2, 'Production Control Clerk Count': 2, 'Specialist, Intrusion Detect Count': 1, 'Specialist, QA Count': 1, 'Specialist, Safety/Security Count': 1, 'Specialist, Sys Integration Count': 1, 'Supervisor, Multimedia Sect Count': 1, 'Supervisor, Video Count': 1, 'Supervisor, Web/DBA/Flight Count': 1, 'Systems Admin - Foundstone Count': 1, 'Systems Administrator Count': 6, 'Systems Administrator, Jr Count': 5, 'Systems Administrator, PRJ SER Count': 1, 'Systems Administrator, Sr Count': 1, 'Systems Administrator, UNIX Count': 2, 'Systems Administrator, Windows Count': 2, 'Technician I, Electronics Count': 2, 'Technician II, Electronics Count': 1, 'Technician III, Electronics Count': 11, 'Warehouse Specialist Count': 1, 'Web Designer Count': 1, 'Web Developer': 3, None: None}",3/16/20
American Medical Response of Southern California,"['20101 Hamilton Avenue, Suite 300', ' Torrance', ', CA', ' 90502']",120,11/14/14,No,,"City of Long Beach, Pac Gateway Innovation Network                              ",7/29/14,Closure,Employer did not State,No,"{'Account Receivable Followup Manager': 1, 'Activation Associate': 1, 'Administrative Assistant, Intermediate': 1, 'Analyst Financial, Intermediate': 1, 'Analyst Post Billing Operations': 1, 'Billing Assistant': 2, 'Cash Posting Representative': 1, 'Cash Posting Supervisor': 1, 'Clerk': 2, 'Coding Representative (PBS)': 35, 'Coding Supervisor': 3, 'Contract Representative': 9, 'Contract Supervisor': 2, 'Correspondence Representative (PBS)': 3, 'Director of PBS': 2, 'Government and Process Standards Manager PBS': 1, 'Insurance Representative (PBS)': 9, 'Mail (Return) Representative': 3, 'Medicaid Representative': 13, 'Medicare Representative': 8, 'PBS Manager': 1, 'PBS Supervisor': 1, 'Pre-Billing PBS Manager': 1, 'Private Insurance Supervisor': 1, 'Quality Assurance Specialist': 6, 'Systems Administrator Senior': 1, 'Team Lead - Cash': 1, 'Team Lead - Coding': 3, 'Team Lead - Contracts': 1, 'Team Lead - Records': 1, 'Technical Coordinator - Contracts Department': 1, 'Technical Coordinator Insurance Verification': 1, 'Technical Coordinator Payment Post': 1, 'Training Coding': 1, None: None}",3/16/20
ARAMARK,"['2677 FORTY MILE ROAD', ' Wheatland', ', CA', ' 95692']",152,12/31/14,No,,North Central Counties Consortium                 ,12/22/14,Closure,Employer did not State,No,"{'BARTENDER': 25, 'BEVERAGE ATTENDANT': 25, 'COOK': 18, 'DISPATCHER': 1, 'FOOD PREP WORKER': 14, 'FOOD SERVICE LEAD WORKER': 1, 'FOOD SERVICE WORKER': 4, 'GUEST SERVICES WORKER': 22, 'LEAD CASHIER': 7, 'MONEY ROOM ATTENDANT': 4, 'OFFICE LEAD WORKER': 2, 'OFFICE WORKER': 1, 'RUNNER': 4, 'SECURITY WORKER': 5, 'STAND LEAD WORKER': 9, 'SUITE ATTENDANT': 1, 'WAITER/WAITRESS': 2, 'WAREHOUSE WORKER': 7, None: None}",3/16/20
"Advanced Micro Devices, Inc.","['One AMD Place', ' Sunnyvale', ', CA', ' 94088-3453']",57,10/29/14,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",10/30/14,Layoff,Employer did not State,No,"{'Corp. VP Software Development': 1, 'Corp. VP, Product Marketing': 1, 'Executive Assistant': 1, 'Fellow Engineering': 1, 'Manager': 1, 'Manager Developer Relations': 1, 'Manager Employment/Staffing': 1, 'MTS ASIC/Layout Design Engineer': 2, 'MTS Design Engineer': 1, 'MTS Software Development Eng.': 4, 'MTS Software Engineer': 1, 'PMTS Design Engineer': 1, 'PMTS Software Development Eng.': 1, 'Product Development Engineer 1': 1, 'Product Marketing Manager 2': 1, 'Program Management Director': 1, 'Sales Acct Manager 1, GAM Sell-In': 1, 'Sales Acct Manager 1, Sell-In': 2, 'Sales Acct Manager 2, GFX/Embedded': 2, 'Sales Acct Rep., Sell-In': 1, 'Sect. Manager ASIC/Layout Design': 1, 'SMTS ASIC/Layout Design Engineer': 1, 'SMTS Firmware Engineer': 1, 'SMTS Packaging Engineer': 1, 'SMTS Software Development Eng.': 4, 'Sr. ASIC/Layout Design Engineer': 2, 'Sr. Director Design Engineering': 1, 'Sr. Director, Product Management': 1, 'Sr. Field Sales Acct Manager': 1, 'Sr. Financial Accountant': 1, 'Sr. Manager Application Engineering': 1, 'Sr. Manager Design Engineering': 2, 'Sr. Manager Product Application Eng.': 1, 'Sr. Manager Public Relations': 1, 'Sr. Manager, Program Management': 1, 'Sr. Mask Layout Designer': 1, 'Sr. Program Manager': 2, 'Sr. Technologist': 1, 'Staff Mask Layout Designer': 6, 'Strat. Corp. Bus. Dev. Manager': 1, None: None}",3/16/20
"Advanced Micro Devices, Inc.","['One AMD Place', ' Sunnyvale', ', CA', ' 94088-3453']",57,12/29/14,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",12/4/14,Layoff,Employer did not State,No,"{'Corp. VP Software Development': 1, 'Corp. VP, Product Marketing': 1, 'Executive Assistant': 1, 'Fellow Engineering': 1, 'Manager': 1, 'Manager Developer Relations': 1, 'Manager Employment/Staffing': 1, 'MTS ASIC/Layout Design Engineer': 2, 'MTS Design Engineer': 1, 'MTS Software Development Eng.': 4, 'MTS Software Engineer': 1, 'PMTS Design Engineer': 1, 'PMTS Software Development Eng.': 1, 'Produce Marketing Manager 2': 1, 'Product Development Engineer 1': 1, 'Program Management Director': 1, 'Sales Acct Manager 1, GAM Sell-In': 1, 'Sales Acct Manager 1, Sell-In': 1, 'Sales Acct Manager 2, GFX/Embedded': 2, 'Sales Acct Manager 2, Sell-In': 1, 'Sales Acct Rep., Sell-In': 1, 'Sect. Manager ASIC/Layout Design': 1, 'SMTS ASIC/Layout Design Engineer': 1, 'SMTS Firmware Engineer': 1, 'SMTS Packaging Engineer': 1, 'SMTS Software Development Eng.': 4, 'Sr. ASIC/Layout Design Engineer': 2, 'Sr. Director Design Engineering': 1, 'Sr. Director, Product Management': 1, 'Sr. Field Sales Acct Manager': 1, 'Sr. Financial Accountant': 1, 'Sr. Manager Application Engineering': 1, 'Sr. Manager Design Engineering': 2, 'Sr. Manager Product Application Eng.': 1, 'Sr. Manager Public Relations': 1, 'Sr. Manager, Program Management': 1, 'Sr. Mask Layout Designer': 1, 'Sr. Program Manager': 2, 'Sr. Technologist': 1, 'Staff Mask Layout Designer': 6, 'Strat. Corp. Bus. Dev. Manager': 1, None: None}",3/16/20
ARAMARK,"['1 AMPHITHEATER PARKWAY', ' Mountain View', ', CA', ' 94043']",175,12/31/14,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",12/23/14,Closure,Employer did not State,No,"{'BARTENDER': 36, 'CASHIER': 23, 'COOK': 11, 'FOOD PREP WORKER': 17, 'FOOD SERVICE LEAD WORKER': 11, 'GENERAL MANAGER': 1, 'LEAD WAITER/WAITRESS': 1, 'MONEY ROOM ATTENDANT': 4, 'OFFICE LEAD WORKER': 1, 'SECURITY WORKER': 19, 'STAND LEAD WORKER': 2, 'VENDOR': 2, 'WAITER/WAITRESS': 16, 'WAREHOUSE MANAGER': 1, 'WAREHOUSE WORKER': 24, None: None}",3/16/20
"Aruba Networks, Inc.","['1344 Crossman Avenue', ' Sunnyvale', ', CA', ' 94089']",116,8/26/14,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",8/28/14,Layoff,Employer did not State,No,"{'Accountant (General) 4': 1, 'Accounting Support 3': 1, 'Administrative Support -HR 3': 2, 'Administrative Support 4': 2, 'Budget /Financial Mgmt 2': 1, 'Budget/Financial Mgmt 5': 1, 'Business Systems Analyst 4': 1, 'Buyer-Commodity Specialist/Mgr 3': 1, 'Channel Marketing Specialist 1': 1, 'Commercial Contracts Administrator 1': 1, 'Commercial Contracts Administrator 2': 1, 'Controller 4': 1, 'Customer/Tech Training Instructor 1': 1, 'Customer/Tech Training Instructor 4': 1, 'Customer/Tech Trainiong Instructor 3': 1, 'Engineering Executive 7': 1, 'Engineering Executive 7A': 1, 'Executive Assistant 3': 1, 'Financial Analyst 2': 1, 'Financial Analyst 3': 1, 'Financial Analyst 4': 1, 'Hardware Development Engineer 5': 1, 'Hardware Development Mgmt 6': 1, 'HRIS Analyst 4': 1, 'HRIS Mgmt 3': 1, 'Human Resources Mgmt 2': 1, 'Human Resources Representative 1': 1, 'Human Resources Representative 3': 1, 'Human Resources Representative 5': 1, 'Information Systems Engineer 2': 3, 'Information Systems Engineer 3': 5, 'Information Systems Engineer 4': 3, 'Information Systems Engineer 5': 5, 'Information Systems Mgmt 2': 1, 'Information Systems Mgmt 5': 2, 'Inside Sales Representative 4 - Overlay Quota': 1, 'Inside/Telesales Mgmt 2': 1, 'Internal Audit Executive 7': 1, 'Marketing Communications Mgmt 3': 1, 'Order Process Management 2': 1, 'Order Processing Support 3': 4, 'Order Processing Support 4': 1, 'Produce Ufecycle Engineer/Mgr 6': 1, 'Product Engineer (Mfg) 3': 1, 'Product Marketing Mgmt 4': 1, 'Product Marketing Mgmt 6': 1, 'Product Marketing Specialist/Mgr 5': 1, 'Project (Design) Manager 5': 1, 'Recruiter': 2, 'Revenue Recognition Accountant 3': 1, 'Sales Acct Manager 3 - Distribution/Retail': 1, 'Sales Acct Manager 4 - Distribution/Retail': 1, 'Sales Acct Manager 5 - Distribution/Retail': 1, 'Sales Operations Analyst 3': 1, 'Sales Operations Management 5': 2, 'Sales Operations Management 6': 1, 'Sales Support Rep Analyst 1': 1, 'Sales Support Rep Analyst 2': 1, 'Sales Support Rep Analyst 3': 1, 'Sales Support Rep Analyst 4': 1, 'Software Engineer (Apps) 3': 1, 'Software Engineer (Apps) 5': 1, 'Software Engineer (Apps) 6': 2, 'Software Engineer (Apps) 7': 1, 'Software Engineering (Apps) Mgmt 6': 3, 'Software QA Engineer 4': 3, 'Software QA Engineer 5': 3, 'Software QA Engineer 6': 1, 'Staffing/Employment Mgmt 4': 1, 'Staffing/Employment Mgmt 5': 1, 'Strategic Business Developer 5': 1, 'Strategic Business Development Mgmt 4': 2, 'Strategic Business Development Mgmt 5': 1, 'Strategic Planning Executive 7': 1, 'Systems Design/Architecture Engineer 5': 1, 'Technical Support Engineer 4': 2, 'Technical Support Engineer 6': 1, 'Technical Support Mgmt 4': 3, 'Technical Support Mgmt 5': 1, 'Technical Support Mgmt 6': 2, 'Telemarketing/lead Development Rep 2': 2, 'Telemarketing/lead Development Rep 3': 1, 'Test Engineer 3': 1, None: None}",3/16/20
"Advanced Micro Devices, Inc.","['One AMD Place', ' Sunnyvale', ', CA', ' 94085']",85,6/15/15,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",4/16/15,Layoff,Employer did not State,No,"{'Associate Marketing Analytics Spec.': 1, 'Corp. VP & General Manager BU': 1, 'Corp. VP Design Engineering': 2, 'Corp. VP Sales': 1, 'Director ASIC/ Layout Design': 1, 'Director Software Development Eng.': 1, 'Director Technical Support Eng.': 1, 'Director, Field Sales': 1, 'Director, Product Management': 1, 'FAE/ Field Support Manager 1': 3, 'FAE/ Field Support Manager 2': 2, 'Fellow Design Engineer': 1, 'Fellow Software Development Eng.': 2, 'Logistics Specialist 1': 1, 'MTS Application Engineer': 1, 'MTS ASIC/ Layout Design Engineer': 2, 'MTS Manufacturing Engineer': 1, 'MTS Quality Engineer': 1, 'MTS Software Development Eng.': 3, 'MTS Sys/Test Validation Eng.': 2, 'PMTS Design Engineer': 12, 'PMTS Software Development Eng.': 7, 'Product Manager 1': 1, 'SMTS Application Engineer': 1, 'SMTS Design Engineer': 2, 'SMTS Engineer': 1, 'SMTS Software Development Eng.': 9, 'SMTS Sys/Test Validation Eng.': 2, 'Sr. Application Engineer': 1, 'Sr. Design Engineer': 1, 'Sr. Director Operations': 1, 'Sr. Director Software Development Eng': 1, 'Sr. Director Systems Design Eng.': 1, 'Sr. Engineer': 1, 'Sr. Executive Assistant': 1, 'Sr. Field Sales Acct Manager': 3, 'Sr. Manager Software Development Eng.': 2, 'Sr. Sales Account Rep., Strat. Accts': 1, 'Sr. Software Development Engineer': 3, 'Sr. Sys/Test Validation Engineer': 1, 'Sr. Systems Administrator': 1, 'Staff': 1, 'Staff Supply Chain Specialist': 1, 'Systems Design Engineer 1': 1, None: None}",3/16/20
